ID_0,ID,p_infrastructure,p_forested,p_agriculture,p_improductible,surface_polygone,natural_growth_1000,density,dependency_ratio,migration_intern,migration,p_employment,primary_sector,secondary_sector,tertiary_sector,p_social_assistance,p_new_buildings,p_new_housings,p_cinema,p_museum,p_culture_institution,size_households,p_new_entreprise,p_weddings,p_foreigners,p_individual_houses,Population,p_pop_19,p_pop_65,lat,long,zab_2022,net_income_h,p_transport
1,1,0.13147914,0.307206068,0.501896334,0.058154235,791,-1.001251565,254.6144121,60.09538951,11.01376721,3.504380476,0.104766634,0.193877551,0.147959184,1.989795918,1.31247,1.514386673,5.047955578,0,0.000993049,0.01142006,2.281641961,0.004965243,2.503128911,14.39920556,69.18918919,2014,19.79742173,18.50828729,0.57104922,0.735112521,69.56,57602.62494,5.063291139
2,2,0.30217186,0.280453258,0.401322002,0.011331445,1059,2.114508783,1160.434372,63.35238602,-6.099544567,5.611581002,0.415493531,0.064952639,1.723951286,7.641407307,3.18621,0.731528895,4.551735349,0.019529661,0,0.006672634,2.188497823,0.004068679,4.798308393,29.0015461,54.69323545,12289,22.34113712,18.59531773,0.562168538,0.738128326,285.95,36520.93798,7.685009488
3,3,0.177658143,0.286675639,0.526244953,0.01076716,743,4.650330889,755.0471063,68.62037872,-0.536576641,1.073153282,0.109269162,0,0,0.315467626,1.13065,0.179468772,0.179468772,0,0,0.005882353,2.368689012,0.002673797,4.650330889,17.3083779,71.55715572,5610,21.92240569,14.13612565,0.565600246,0.756054588,92.4,45237.22182,5.107526882
4,4,0.133088235,0.291176471,0.553676471,0.025,1360,2.118644068,279.4852941,67.44493392,9.533898305,1.324152542,0.139963168,2.12,2.8,16.1,1.253,0.799786724,1.332977873,0,0,0.008155748,2.391139241,0.004209419,2.648305085,15.83793738,69.06542056,3801,22.09302326,21.51162791,0.581732217,0.719494621,126.62,45790.85577,4.545454546
5,5,0.199081164,0.332312404,0.464012251,0.007656968,653,0.528192262,581.1638591,62.87553648,-2.905057441,5.017826489,0.363636364,0.001873739,0.045041799,0.056860767,1.27051,0.529380625,1.058761249,0,0.000263505,0.006060606,2.383207071,0.003689065,1.848672917,17.36495389,74.6835443,3795,19.2768637,20.4008396,0.562228882,0.74824266,102.76,48875.22499,4.885496183
6,6,0.087121212,0.205808081,0.683080808,0.011363636,792,4.866180049,157.1969697,64.24802111,13.78751014,-2.433090024,0.17751004,0.230434783,0.365217391,0.826086957,0.9828,4.914004914,4.914004914,0,0,0.010441767,2.46812749,0,2.433090024,17.99196787,61.62790698,1245,21.45127119,16.31355932,0.576067657,0.709600458,38,49055.52826,3.58056266
7,7,0.174652241,0.173106646,0.627511592,0.027820711,647,1.263956183,366.1514683,64.97214485,-4.213187276,-2.106593638,0.155761925,2.523809524,4.714285714,19.04761905,1.42977,1.26156434,7.989907485,0,0,0.006331786,2.518123667,0.003376952,3.370549821,16.92697341,63.44294004,2369,19.64285714,21.42857143,0.565180241,0.7089852,55.82,42670.31119,7.395993837
8,8,0.087420043,0.234541578,0.584221748,0.091684435,469,-1.555209953,136.673774,68.24146982,0,-4.66562986,0.088923557,0.010845452,0.013310328,0.017747104,0,0,0,0,0.001560062,0,2.340659341,0,0,11.07644306,52.22222222,641,19.44933568,19.44933568,0.557614525,0.714115102,20.95,36702.94574,3.418803419
9,9,0.15732924,0.191864927,0.644666155,0.007674597,1303,4.914933837,412.8933231,69.395466,25.14177694,3.402646503,0.249814126,0.233070866,0.891338583,1.559055118,1.51923,3.269230769,15.19230769,0,0,0.003717472,2.433547204,0.002230483,3.213610586,15.50185874,65.16357206,5380,17.32613909,25.59952038,0.565381643,0.72090611,127.78,45343.5,5.747126437
10,10,0.25331565,0.213527851,0.484084881,0.050397878,754,4,766.4456233,68.72992701,1.043478261,4.695652174,0.160581415,0.272727273,1.522727273,5.738636364,2.7268,0,0,0,0,0.00536425,2.431663837,0.002768645,5.739130435,21.12822288,72.7486296,5779,18.65808824,23.62132353,0.555902422,0.727747565,133.8,37131.77766,7.549668874
