"","BFS_nummer","p_infrastructure","p_forested","p_agriculture","p_improductible","p_transport","natural_growth","density","migration_intern","migration","p_foreigners","p_individual_houses","p_pop_19","p_pop_65","p_employment","p_new_buildings","p_new_housings","p_new_entreprise","net_income"
"1",1,0.13147914,0.307206068,0.501896334,0.058154235,5.063291139,-1.001251565,254.6144121,11.01376721,3.504380476,14.39920556,69.18918919,19.79742173,18.50828729,0.104766634,1.514386673,5.047955578,0.004965243,57602.62494
"2",2,0.30217186,0.280453258,0.401322002,0.011331445,7.685009488,2.114508783,1160.434372,-6.099544567,5.611581002,29.0015461,54.69323545,22.34113712,18.59531773,0.415493531,0.731528895,4.551735349,0.004068679,36520.93798
"3",3,0.177658143,0.286675639,0.526244953,0.01076716,5.107526882,4.650330889,755.0471063,-0.536576641,1.073153282,17.3083779,71.55715572,21.92240569,14.13612565,0.109269162,0.179468772,0.179468772,0.002673797,45237.22182
"4",4,0.133088235,0.291176471,0.553676471,0.025,4.545454546,2.118644068,279.4852941,9.533898305,1.324152542,15.83793738,69.06542056,22.09302326,21.51162791,0.139963168,0.799786724,1.332977873,0.004209419,45790.85577
"5",5,0.199081164,0.332312404,0.464012251,0.007656968,4.885496183,0.528192262,581.1638591,-2.905057441,5.017826489,17.36495389,74.6835443,19.2768637,20.4008396,0.363636364,0.529380625,1.058761249,0.003689065,48875.22499
"6",6,0.087121212,0.205808081,0.683080808,0.011363636,3.58056266,4.866180049,157.1969697,13.78751014,-2.433090024,17.99196787,61.62790698,21.45127119,16.31355932,0.17751004,4.914004914,4.914004914,0,49055.52826
"7",7,0.174652241,0.173106646,0.627511592,0.027820711,7.395993837,1.263956183,366.1514683,-4.213187276,-2.106593638,16.92697341,63.44294004,19.64285714,21.42857143,0.155761925,1.26156434,7.989907485,0.003376952,42670.31119
"8",8,0.087420043,0.234541578,0.584221748,0.091684435,3.418803419,-1.555209953,136.673774,0,-4.66562986,11.07644306,52.22222222,19.44933568,19.44933568,0.088923557,0,0,0,36702.94574
"9",9,0.15732924,0.191864927,0.644666155,0.007674597,5.747126437,4.914933837,412.8933231,25.14177694,3.402646503,15.50185874,65.16357206,17.32613909,25.59952038,0.249814126,3.269230769,15.19230769,0.002230483,45343.5
"10",10,0.25331565,0.213527851,0.484084881,0.050397878,7.549668874,4,766.4456233,1.043478261,4.695652174,21.12822288,72.7486296,18.65808824,23.62132353,0.160581415,0,0,0.002768645,37131.77766
"11",11,0.221115538,0.207171315,0.525896414,0.047808765,4.373757455,-0.377928949,538.6454183,38.17082389,2.645502646,13.60946746,72.31182796,19.53422841,19.48035803,0.214127219,1.545595054,8.114374034,0.002588757,43895.74961
"12",12,0.11827957,0.225806452,0.64516129,0.023041475,5.007587253,4.391743522,176.344086,5.270092227,7.90513834,10.10452962,62.80487805,20.4264099,17.05639615,0.155923345,1.771479185,3.54295837,0.008710801,43607.88308
"13",13,0.108153078,0.501663894,0.381863561,0.008319468,2.99500832,4.510480234,314.7254576,0.530644733,3.1838684,21.75522072,72.45901639,21.73913043,21.73913043,0.156225218,0,0,0.003436426,52072.56991
"14",14,0.360742706,0.209549072,0.342175066,0.082228117,7.733333333,3.992015968,1400.795756,-1.710863986,2.281151982,17.25052073,71.8464351,15.69115816,26.15193026,0.170800985,1.717557252,6.297709924,0.002082939,61714.92366
