X,Y,LS
567895.5,200099.5,1
568095.5,200079.5,1
567905.5,200044.5,1
567950.5,200029.5,1
567800.5,199999.5,1
567945.5,199999.5,1
567690.5,199969.5,1
567660.5,199939.5,1
567660.5,199914.5,1
567715.5,199904.5,1
567550.5,199879.5,1
567525.5,199859.5,1
567520.5,199854.5,1
567635.5,199739.5,1
567705.5,199734.5,1
566990.5,199699.5,1
566915.5,199664.5,1
567010.5,199654.5,1
567040.5,199584.5,1
567025.5,199579.5,1
566770.5,199559.5,1
566835.5,199519.5,1
566725.5,199504.5,1
566840.5,199449.5,1
566810.5,199424.5,1
568985.5,199259.5,1
566490.5,199249.5,1
566270.5,199114.5,1
566265.5,199109.5,1
570850.5,198634.5,1
570665.5,198599.5,1
570625.5,198509.5,1
570605.5,198479.5,1
570655.5,198479.5,1
565005.5,198304.5,1
565000.5,198284.5,1
570185.5,198274.5,1
570150.5,198204.5,1
570200.5,198144.5,1
570035.5,198064.5,1
569660.5,198029.5,1
569985.5,197919.5,1
569955.5,197864.5,1
564580.5,197839.5,1
564565.5,197824.5,1
564575.5,197799.5,1
569845.5,197764.5,1
569610.5,197649.5,1
564310.5,197594.5,1
569530.5,197569.5,1
569055.5,197549.5,1
569015.5,197514.5,1
569245.5,197499.5,1
568970.5,197494.5,1
568885.5,197484.5,1
569005.5,197459.5,1
568965.5,197384.5,1
568925.5,197349.5,1
568970.5,197239.5,1
569040.5,197234.5,1
569100.5,197224.5,1
568885.5,197134.5,1
568295.5,196984.5,1
568335.5,196969.5,1
568240.5,196869.5,1
568300.5,196829.5,1
567920.5,196654.5,1
568270.5,196634.5,1
567980.5,196539.5,1
568140.5,196454.5,1
567350.5,196084.5,1
567390.5,196049.5,1
571710.5,194119.5,1
571635.5,194034.5,1
571560.5,194024.5,1
571410.5,193894.5,1
545390.5,193299.5,1
569325.5,189694.5,1
569305.5,189584.5,1
569345.5,189574.5,1
538395.5,189344.5,1
537710.5,189074.5,1
569215.5,189064.5,1
569050.5,188994.5,1
538420.5,188949.5,1
538260.5,188909.5,1
536300.5,188069.5,1
527260.5,187959.5,1
536135.5,187844.5,1
527170.5,187784.5,1
527375.5,187639.5,1
527595.5,187629.5,1
527960.5,186999.5,1
530785.5,186744.5,1
535485.5,186704.5,1
535620.5,186649.5,1
530680.5,186564.5,1
530685.5,186564.5,1
530400.5,186514.5,1
530425.5,186454.5,1
530265.5,186429.5,1
564285.5,186419.5,1
564270.5,186404.5,1
530340.5,186374.5,1
530535.5,186319.5,1
526700.5,186299.5,1
530615.5,186254.5,1
526740.5,186249.5,1
526605.5,186164.5,1
530440.5,186164.5,1
529350.5,186159.5,1
526640.5,186149.5,1
529380.5,186129.5,1
529600.5,186089.5,1
526510.5,186084.5,1
526555.5,186059.5,1
526430.5,186054.5,1
526360.5,185999.5,1
529485.5,185954.5,1
529655.5,185879.5,1
526100.5,185874.5,1
525690.5,185629.5,1
525575.5,185599.5,1
540040.5,185169.5,1
540035.5,185114.5,1
538335.5,184619.5,1
538560.5,184529.5,1
538390.5,183899.5,1
538375.5,183854.5,1
538310.5,183814.5,1
538340.5,183794.5,1
537780.5,183494.5,1
549185.5,183374.5,1
537040.5,183359.5,1
537100.5,183314.5,1
537015.5,183304.5,1
537090.5,183284.5,1
537010.5,183144.5,1
537155.5,183104.5,1
548840.5,182864.5,1
548755.5,182824.5,1
541585.5,181994.5,1
535445.5,181859.5,1
535485.5,181834.5,1
535070.5,181809.5,1
535440.5,181779.5,1
535335.5,181754.5,1
535025.5,181739.5,1
541060.5,181689.5,1
535370.5,181614.5,1
540765.5,181464.5,1
533900.5,181454.5,1
540700.5,181409.5,1
540670.5,181404.5,1
533915.5,181399.5,1
533720.5,181344.5,1
536845.5,181334.5,1
536945.5,181329.5,1
540540.5,181314.5,1
536955.5,181309.5,1
541560.5,181109.5,1
540310.5,180559.5,1
540800.5,180559.5,1
540725.5,180554.5,1
540975.5,180534.5,1
540180.5,180529.5,1
540760.5,180309.5,1
540720.5,180229.5,1
540635.5,180104.5,1
551320.5,180074.5,1
540445.5,180059.5,1
540385.5,180019.5,1
540410.5,179969.5,1
551370.5,179959.5,1
560340.5,179909.5,1
560430.5,179899.5,1
540520.5,179884.5,1
540220.5,179879.5,1
561075.5,179864.5,1
540165.5,179819.5,1
560385.5,179734.5,1
539980.5,179669.5,1
547620.5,179074.5,1
539545.5,178999.5,1
547670.5,178759.5,1
527400.5,178729.5,1
527450.5,178684.5,1
539420.5,178654.5,1
547650.5,178649.5,1
539410.5,178614.5,1
527230.5,178524.5,1
539290.5,178489.5,1
539265.5,178469.5,1
538775.5,178464.5,1
539080.5,178349.5,1
538400.5,178279.5,1
538805.5,178279.5,1
538095.5,178264.5,1
537985.5,178204.5,1
538680.5,178199.5,1
538700.5,178199.5,1
538485.5,178109.5,1
538235.5,178069.5,1
539230.5,177969.5,1
538825.5,177959.5,1
539210.5,177939.5,1
538955.5,177859.5,1
